startstation_name,total_trips,avg_daily_trips,peak_hour_departure_ratio,weekend_usage_ratio,id,latitude,longitude,nbDocks,early_peak_zero_days_ratio,spatial_density_index,turnover_rate
"Chrisp Street Market, Poplar",5376,14.688524590163937,0.3529005524861878,0.27048802946593,BikePoints_516,51.5112,-0.014438,18.0,0.2786259541984733,2,0.8160291438979965
"Christopher Street, Liverpool Street",7289,19.915300546448087,0.5887569014555797,0.0726116780993809,BikePoints_3,51.521283,-0.084605,32.0,0.2099236641221374,11,0.6223531420765027
"City Road, Angel",8742,23.885245901639344,0.509919797382862,0.2079639791754608,BikePoints_365,51.530344,-0.100168,47.0,0.1793893129770992,8,0.5081967213114754
"Clapham Common North Side, Clapham Common",8445,23.07377049180328,0.5321944809461235,0.2798948751642575,BikePoints_768,51.461343,-0.159322,37.0,0.1755725190839694,2,0.6236154186973859
"Clapham Common Station, Clapham Common",19653,53.69672131147541,0.3551752656021375,0.3440422418728927,BikePoints_355,51.461388,-0.139221,21.0,0.1717557251908397,0,2.5569867291178765
"Clapham Road, Lingham Street, Stockwell",3909,10.68032786885246,0.4128886010362694,0.2794689119170984,BikePoints_814,51.471433,-0.12367,30.0,0.2595419847328244,3,0.3560109289617487
"Clapham South, Clapham South",8732,23.85792349726776,0.4642691773421824,0.3105417502701034,BikePoints_753,51.452997,-0.148651,27.0,0.3358778625954198,0,0.8836267961951022
"Claremont Square, Angel",6239,17.046448087431695,0.4493996569468267,0.2540499332952163,BikePoints_189,51.531666,-0.109914,18.0,0.1870229007633587,7,0.9470248937462054
"Clarence Walk, Stockwell",5779,15.789617486338798,0.4992396263306539,0.2620030414946774,BikePoints_630,51.470732,-0.126994,28.0,0.1793893129770992,3,0.5639149102263856
"Clarendon Road, Avondale",4505,12.308743169398907,0.4748911465892598,0.283599419448476,BikePoints_663,51.51323,-0.211593,24.0,0.2061068702290076,7,0.5128642987249544
"Clarges Street, Mayfair",4969,13.576502732240437,0.504720406681191,0.1224885015734689,BikePoints_528,51.507326,-0.145827,16.0,0.3473282442748092,9,0.8485314207650273
"Clarkson Street, Bethnal Green",6420,17.540983606557376,0.4893865628042843,0.229016553067186,BikePoints_507,51.528692,-0.059091,31.0,0.1679389312977099,7,0.5658381808566896
"Claverton Street, Pimlico",8935,24.41256830601093,0.4835411122005883,0.2801512816921137,BikePoints_291,51.484839,-0.138089,32.0,0.1755725190839694,5,0.7628927595628415
